Species;SRR7048708_S53;SRR7049045_VS.B1;SRR7049060_MP79;SRR7049061_MP78;SRR7049072_MP74;SRR7049073_S47;SRR7049084_MP45;SRR7049085_MP44;SRR7049086_MP47;SRR7049087_MP46;SRR7049088_MP41;SRR7049090_MP43;SRR7049091_MP42;SRR7049096_MP49;SRR7049097_MP48;SRR7049154_FP55;SRR7049155_FP58;SRR7049156_FP57;SRR7049157_FP60;SRR7049158_FP59;SRR7049159_AS.B5;SRR7049160_AS.B4;SRR7049161_S54;SRR7049162_S55;SRR7049164_S57;SRR7049165_S58;SRR7049166_S59;SRR7049167_S60;SRR7049168_S61;SRR7049169_S62;SRR7049170_S63;SRR7049173_FP73;SRR7049174_FP74;SRR7049183_FP76;SRR7049184_FP75;SRR7049187_FP80;SRR7049188_FP79;SRR7049201_FP64;SRR7049202_FP63;SRR7049225_FP62;SRR7049226_FP61;SRR7049247_VS.B4;SRR7049248_VS.B3;SRR7049253_MP71;SRR7049255_MP70;SRR7049256_MP73;SRR7049257_MP72
Acaryochloris marina;17.15586;0;32.14917;0;0;8.82113;43.34634;0;0;0;0;0;0;0;0;0;42.89084;0;63.20114;0;43.57773;102.17114;23.91844;14.08327;13.03071;22.99203;27.28073;15.80472;21.19323;25.00136;20.65635;0;0;0;15.61768;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacter aceti;5.20928;68.96552;0;0;0;10.26747;75.67159;0;0;0;0;0;0;0;0;0;0;0;0;0;114.11183;89.20607;13.05006;6.14704;1.62508;0;4.33004;6.20869;17.23395;17.95326;8.63525;0;0;0;0;0;0;0;0;0;0;0;0;0;50.85177;0;0
Acetobacter oryzifermentans;0;82.13552;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45.31038;0;0;7.32172;0;15.93752;5.15743;2.05417;2.61618;5.87005;3.02508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacter pasteurianus;21.69053;0;0;0;0;0;0;0;0;0;0;0;0;0;148.25797;0;0;0;0;0;97.46589;0;15.04765;39.37783;10.41005;0;2.77385;11.48983;10.39053;37.88477;15.29346;75.41478;0;45.52697;0;77.91196;0;0;0;0;41.08463;0;0;0;0;0;0
Acetobacter persici;23.27607;238.56859;64.72492;0;0;8.87942;0;0;0;0;0;0;58.44535;0;133.42228;0;0;0;0;0;87.7193;0;3.00956;21.26453;16.86451;7.71486;4.99289;11.53416;16.3653;16.64245;16.40002;0;0;0;0;0;0;0;146.0387;44.54343;36.97541;0;0;0;58.63383;0;60.02401
Acetobacter pomorum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.03988;4.25089;0;5.66332;9.02266;1.32591;2.76249;1.99308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacter senegalensis;7.48274;0;0;0;0;0;0;0;0;0;19.22707;0;0;0;0;0;0;0;0;0;72.85974;85.43358;0;5.88668;6.22481;0;0;4.95465;9.86982;10.1132;4.37788;0;0;34.03097;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacter sp;5.19863;91.78522;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.47295;0;4.3247;0;0;4.58966;2.47303;4.6841;3.37947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacter tropicalis;4.25687;64.41224;0;0;0;8.39027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.75015;5.74086;0;12.49688;8.08783;3.86557;3.78705;6.90394;7.11578;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacterium woodii;28.78492;0;0;64.26735;0;28.36745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35.0324;0;22.83517;22.64493;21.7009;61.61429;23.92678;26.36586;30.03157;53.81678;26.66473;0;0;0;0;0;49.46822;0;0;0;29.53337;0;0;0;46.83841;57.27377;0
Acetohalobium arabaticum;34.37641;104.00416;0;0;0;38.71767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57.37235;0;57.08437;37.08855;45.34703;60.55101;35.92189;32.25706;43.32502;53.098;27.19942;0;0;0;0;0;81.03728;0;0;0;0;0;0;0;0;0;0
Acetomicrobium mobile;16.83899;0;0;120.33694;0;8.85054;0;0;0;0;34.61405;0;0;0;0;0;0;0;0;0;131.14754;0;33.7473;42.39084;11.20652;0;14.92983;24.97547;13.10792;35.8064;23.64428;101.47133;0;0;47.00353;0;0;0;0;66.60007;0;0;0;0;0;0;0
Acholeplasma brassicae;165.3405;0;0;0;0;53.46641;0;0;0;0;0;0;0;0;0;0;0;0;109.46907;0;0;0;46.59832;134.13816;53.19149;53.0856;141.72823;81.42487;85.46894;43.29609;22.67208;0;0;0;0;0;213.10602;0;0;0;63.61323;0;0;0;0;0;0
Acholeplasma laidlawii;87.49615;171.67382;0;0;181.4882;70.2606;0;0;98.96091;0;0;0;126.1034;0;0;0;186.39329;155.03876;0;139.27577;0;0;45.46193;15.29637;60.6563;33.29449;32.3241;39.48193;47.92917;21.02313;51.19098;0;0;0;67.84261;0;0;0;0;0;0;0;0;0;0;0;129.53368
Acholeplasma oculi;36.6793;0;0;0;0;39.16017;0;138.31259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.88033;43.2838;34.32691;62.81407;15.24468;41.28752;31.7245;71.055;23.84387;0;0;0;64;0;0;0;0;0;75.27286;0;0;0;0;0;0
Achromobacter denitrificans;3.89576;82.52527;67.15917;0;0;7.6786;0;0;0;0;0;0;30.326;0;0;31.52088;0;0;33.00875;0;159.30815;160.08538;2.3423;3.67769;2.91676;8.00544;0;5.57184;4.75104;5.26526;3.19097;35.21127;0;0;16.31321;0;0;0;0;0;0;0;0;0;0;0;93.42884
Achromobacter insolitus;6.32062;39.37783;0;19.92429;0;0.73282;0;0;22.70663;0;11.4646;0;0;0;0;0;0;0;0;0;65.16073;50.92946;10.43196;0;3.24761;0;9.88961;8.86266;12.92746;9.04503;7.25087;0;0;40.5803;0;0;0;0;0;0;0;206.10058;0;46.38219;0;0;0
Achromobacter sp;9.485;289.79907;0;39.10068;0;8.62844;0;0;22.27916;0;0;0;0;0;0;0;0;0;0;0;234.4416;149.92504;16.81594;3.44388;4.5522;7.49653;6.06472;6.76353;11.54842;9.6638;5.40702;32.97609;0;39.81684;0;0;30.09329;0;0;0;0;242.71845;0;0;0;34.83714;0
Achromobacter spanius;9.43695;159.93603;0;0;0;14.13617;0;0;11.52738;0;0;22.30152;0;0;0;0;0;36.13369;0;0;176.42518;103.41262;7.56515;12.47216;2.35515;27.14967;5.02033;3.9991;8.91314;9.59127;7.95051;0;0;0;31.61306;0;0;0;0;0;9.29454;83.71704;0;0;29.48113;0;0
Achromobacter xylosoxidans;7.60903;21.04919;0;0;0;99.92506;0;21.56567;11.31414;0;0;0;80.45052;0;39.27216;0;0;40.20101;1708.50032;46.94836;1675.15191;1462.76596;0;1602.5202;509.17637;0;94.62976;108.22023;1211.40652;0;2175.44851;0;60.09615;0;0;0;0;2039.78847;2289.58401;0;179.21147;12.47695;3.26509;15.39723;130.50936;0;6.8998
Acidaminococcus fermentans;18.74024;220.50717;89.72633;111.60714;0;6.15625;0;0;0;78.58546;32.10273;0;0;0;0;0;0;0;0;0;60.82725;0;4.1731;19.65699;14.29073;10.69748;13.84658;22.05996;24.85365;26.45384;28.8319;0;0;56.81818;0;0;0;0;101.21457;0;102.53781;0;0;0;0;0;0
Acidaminococcus intestini;68.25073;0;0;0;0;19.21746;0;0;0;0;0;0;0;135.318;0;0;0;0;0;83.8223;56.96383;0;15.63233;46.02145;19.46638;40.07213;38.90168;19.1096;28.33506;25.30098;53.62114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acidihalobacter prosperus;12.24032;0;0;0;0;8.04193;0;0;0;51.32153;0;0;0;0;0;0;0;0;0;0;79.45967;0;10.90275;6.41952;6.78841;0;4.52202;5.76346;13.41012;16.17564;11.67034;0;0;0;0;0;0;0;0;0;0;0;0;0;53.10674;0;0
Acidimicrobium ferrooxidans;22.47822;119.04762;0;0;0;15.50662;0;0;0;0;0;0;0;156.00624;0;0;0;107.58472;0;0;65.65988;0;13.51504;10.61008;5.60986;0;3.73692;8.33497;16.03966;24.30414;13.1512;0;0;0;94.11765;0;0;0;109.28962;0;0;249.37656;0;0;0;0;0
Acidiphilium cryptum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.86862;0;1.78608;0;0;2.27462;0;0;1.67485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acidiphilium multivorum;3.88156;68.51662;0;0;0;2.55017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.10724;1.6145;0;0;2.05611;3.02151;5.94553;0.50465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51.71968
Acidipropionibacterium acidipropionici;12.60507;175.68517;0;0;0;20.92187;0;0;0;0;0;0;0;0;117.92453;0;0;190.53668;0;0;155.03876;90.86779;54.5133;40.70896;17.38468;13.63327;2.2058;11.24559;11.53357;11.11832;25.87623;0;0;0;0;0;0;0;0;0;0;294.33407;323.88664;0;0;0;0
Acidithiobacillus caldus;6.98586;92.50694;0;0;0;17.21141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51.02041;119.61722;14.0007;16.48737;8.71716;0;11.61373;7.401;15.40762;27.85279;13.62384;0;0;0;0;0;0;0;0;0;0;193.61084;0;0;0;0;0
Acidithiobacillus ferrivorans;17.39288;0;0;0;0;11.92393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132.5381;0;24.24867;14.27756;10.3799;0;10.05733;12.41783;22.56521;37.61135;17.69718;0;0;0;63.33122;0;0;0;0;0;0;0;0;0;0;0;0
Acidithiobacillus ferrooxidans;12.61119;0;0;0;0;13.25689;0;0;0;0;0;0;0;0;0;136.05442;0;0;0;0;147.34774;0;11.79484;15.87365;6.29465;34.55425;11.18162;7.12568;24.21514;38.63426;14.42874;0;0;45.88208;35.20507;0;0;0;0;0;0;186.39329;0;104.87677;0;0;0
Acidobacterium capsulatum;9.40297;373.48273;0;0;0;6.94999;0;0;0;0;0;0;0;81.56607;0;0;0;0;0;0;137.33906;241.54589;11.77801;16.64355;15.39996;12.07657;11.72402;8.71655;25.92341;12.70846;8.25198;0;0;32.07184;24.60933;0;0;0;0;17.43071;0;0;143.47202;0;0;0;0
Acidothermus cellulolyticus;8.93389;0;0;0;0;11.73916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;173.96347;0;33.82008;9.37075;3.716;0;13.20176;6.30988;10.3028;8.58627;6.1948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acidovorax avenae;5.30941;234.30178;0;0;0;10.4649;0;20.02002;0;0;0;0;0;0;0;0;0;0;0;0;323.0809;212.12121;10.64075;4.17685;2.20842;0;5.88443;5.39056;8.15119;10.28538;4.14177;0;0;0;37.05419;0;0;10.52632;0;52.49344;0;147.20314;0;0;0;42.2565;0
Acidovorax citrulli;2.71888;95.99232;0;0;0;8.03837;0;0;0;0;0;26.77018;35.27337;0;0;0;0;0;0;0;158.83521;124.14649;12.71433;4.2778;1.1309;0;3.01332;1.9203;5.29114;7.5943;2.82793;0;0;24.72799;18.97533;0;0;0;0;0;0;100.50251;276.54867;0;0;43.27131;0
Acidovorax ebreus;3.83333;135.318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;223.96417;87.52735;0;0;3.1889;0;0;1.35372;3.31553;2.41774;0.99677;0;0;0;0;59.66587;0;0;0;0;0;424.92918;156.00624;0;0;0;0
Acidovorax sp;1.09044;288.76697;0;0;0;0;0;0;0;0;16.81237;0;0;0;0;0;0;0;23.10002;0;668.89632;298.7304;2.18539;0;4.08202;0;0;4.04332;5.8003;3.53702;1.70125;73.92804;0;29.75305;0;0;0;0;0;0;26.84924;241.83797;399.2016;0;0;0;0
Acinetobacter baumannii;22.56786;0;0;0;0;16.83077;0;0;37.25088;23.02026;0;0;0;0;0;49.34616;0;0;0;0;106.89471;0;17.11366;17.27414;15.22209;37.60105;22.30785;15.50858;20.8911;22.09282;15.22577;0;0;0;0;0;0;0;0;0;0;135.2265;0;0;0;0;0
Acinetobacter bereziniae;21.51718;170.94017;0;0;0;29.68743;62.51954;48.68549;0;40.60089;0;31.78134;0;0;0;0;61.86205;0;0;0;62.85355;0;17.24937;20.31282;25.50729;11.054;39.34825;19.09153;25.96188;36.35148;27.9053;0;0;0;0;50.23863;0;0;0;0;26.49007;0;0;0;0;0;43.00151
Acinetobacter calcoaceticus;17.70476;0;0;0;0;10.46877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34.47681;0;28.38624;11.14237;11.04622;0;7.84883;13.75503;18.52895;14.35714;14.96203;0;0;32.20612;0;0;0;0;0;0;0;0;0;0;0;0;0
Acinetobacter defluvii;29.65149;153.19801;0;0;0;11.40365;0;0;0;0;22.30152;0;56.30631;0;0;0;0;69.22811;0;0;168.99028;99.05894;23.19042;34.13668;22.56114;14.86105;19.23678;17.2392;38.46933;50.82691;33.00339;65.38084;0;39.47109;0;0;0;0;0;0;0;160.38492;0;0;56.48122;0;0
Acinetobacter equi;50.03216;0;0;0;0;28.17519;0;0;0;59.95204;0;46.91532;0;0;141.14326;0;0;0;0;0;46.39295;108.81393;25.46595;29.98838;19.81964;8.15993;26.40543;24.39938;43.68612;49.80293;23.23168;0;0;0;0;0;65.50934;0;0;0;0;0;0;0;0;0;0
Acinetobacter guillouiae;17.2197;497.37497;0;0;0;27.76921;0;0;0;39.38558;16.0901;30.82614;0;0;0;0;0;0;0;0;381.03948;857.75554;25.09856;27.09293;8.4647;0;24.28953;25.15327;28.02725;45.13565;24.62678;0;0;28.47786;0;0;0;0;0;30.95496;0;115.74074;0;0;0;0;0
Acinetobacter haemolyticus;17.61382;149.25373;0;0;0;11.10941;0;0;43.02926;0;0;41.62331;0;0;0;57.01254;81.03728;0;0;0;493.92879;0;31.06467;53.20918;21.10001;0;32.7961;22.39274;22.12066;44.5643;15.66386;0;0;0;29.50288;0;0;0;0;0;34.69813;0;0;0;0;0;0
Acinetobacter johnsonii;16.58615;146.41288;59.577;0;0;29.96704;0;0;0;52.16484;0;0;0;0;0;55.91278;0;0;0;0;444.08559;473.26077;11.08033;75.0261;25.87099;14.20152;27.57353;21.96483;21.33932;41.09753;11.32124;0;0;0;0;64.55778;0;0;0;0;0;459.77011;168.63406;86.2069;53.96654;0;0
Acinetobacter junii;30.15552;456.27376;0;0;0;5.66067;0;0;0;54.20054;0;42.41782;0;0;0;0;0;0;0;0;5494.96644;590.2607;221.59868;27.11221;21.50229;14.7547;26.25988;31.94767;24.40547;90.82828;26.60431;64.89293;0;0;0;0;0;0;0;0;70.72136;159.23567;0;89.56561;0;0;0
Acinetobacter lactucae;20.10307;0;0;0;0;12.00696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35.58719;0;10.98794;11.50185;6.08125;12.51799;26.33125;16.45729;11.38093;25.68789;14.73156;0;0;0;0;0;0;28.98551;0;0;29.9985;0;0;0;47.57374;0;0
Acinetobacter larvae;31.7697;137.36264;0;0;0;20.44676;75.35795;0;39.59612;0;0;0;0;0;115.27378;0;0;0;0;0;37.87879;0;54.57522;24.4828;25.0805;0;30.18022;17.51578;26.24464;36.4535;20.73681;58.59947;0;35.3857;27.14809;0;53.49024;0;0;38.46154;0;0;0;80.90615;0;0;0
Acinetobacter nosocomialis;26.39949;66.5779;54.18586;0;0;23.53903;0;0;38.38772;0;0;0;0;0;0;0;0;0;0;0;110.15238;0;20.15545;23.73535;26.6675;12.91656;6.26972;22.64108;25.76929;43.49555;14.46468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acinetobacter oleivorans;8.76184;0;0;0;0;13.81565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102.37161;160.06403;18.73054;5.5142;8.74661;12.00336;15.5373;11.75786;12.57995;11.36823;8.20191;0;0;0;24.45885;0;0;0;0;0;0;0;0;0;0;0;0
Acinetobacter pittii;12.55958;0;0;0;0;12.37746;72.9927;0;0;0;0;0;0;0;0;0;0;0;0;0;110.05136;0;17.61981;11.85677;14.10504;12.90489;25.05585;12.64067;9.93969;14.93774;9.30763;0;0;34.27005;0;0;0;0;0;0;0;139.27577;0;0;0;0;0
Acinetobacter schindleri;34.75281;128.42466;69.66214;0;0;15.92965;0;0;0;0;24.92212;0;0;0;0;0;0;0;0;0;1133.14448;221.48394;16.19748;30.51921;20.17003;16.60854;21.49786;16.26845;37.11867;32.76941;25.21861;73.04602;0;0;0;75.50019;0;0;0;0;0;0;197.23866;0;0;0;0
Acinetobacter soli;19.75295;0;60.80876;0;0;8.34283;0;0;0;0;21.75332;41.67535;0;0;0;0;0;0;0;0;164.84649;386.47343;11.31078;33.29892;17.60594;14.49696;51.60322;43.34844;15.55933;55.68184;13.75796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acinetobacter sp;21.56901;71.37759;0;0;0;10.62812;0;60.99421;41.16921;0;0;0;0;0;0;0;77.51938;0;0;57.93743;39.37783;0;18.91202;12.72629;24.39127;0;31.37536;23.2079;22.73645;27.32937;15.51113;0;0;73.56998;0;0;0;0;0;0;0;0;0;84.10429;0;0;0
Acinetobacter wuhouensis;19.52522;266.84456;0;67.49916;0;19.86295;0;0;0;0;19.42125;0;0;0;0;0;0;0;53.37603;0;55.19779;86.28128;25.24583;11.89167;29.86576;0;29.31814;15.34735;34.81058;60.60957;24.81219;0;0;0;0;0;0;0;0;0;0;0;0;314.34185;0;0;50.35247
Actinoalloteichus hoggarensis;8.44421;77.77562;0;39.34684;0;10.13091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128.68633;50.28916;4.41478;6.93181;2.74878;15.08921;4.88281;6.22333;6.66849;5.55746;3.86638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Actinoalloteichus hymeniacidonis;4.61549;40.7332;0;0;0;4.54859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67.40816;52.68704;41.62523;1.81548;4.79945;7.90389;5.11535;3.25985;7.98407;7.90146;7.50095;0;0;0;0;35.92599;0;0;0;0;0;85.28785;93.89671;0;0;0;30.75031
Actinoalloteichus sp;5.10948;72.15007;0;0;0;5.37111;39.58828;0;0;0;0;60.36825;0;47.27015;0;0;0;0;0;0;79.60199;46.66356;7.5094;9.64692;5.95071;20.99958;4.53027;10.46537;5.83347;2.9464;9.30021;0;0;0;14.2633;63.63347;28.10173;16.20746;0;0;0;0;0;0;0;0;0
Actinobacillus equuli;34.91446;0;0;0;0;129.76799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136.61202;29.9886;14.12562;31.11969;40.99621;132.66998;76.62066;52.80378;78.73676;8.17082;0;0;0;0;0;0;0;0;0;49.12798;0;0;0;0;0;0
Actinobacillus pleuropneumoniae;45.85688;0;0;0;0;166.0536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62.3053;0;25.6476;35.23608;70.52843;0;159.56315;82.47609;72.49926;130.87194;21.21358;0;0;0;44.65282;0;0;0;0;0;0;0;0;0;0;0;0
Actinobacillus succinogenes;42.87223;0;0;0;0;47.40313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;122.17471;0;54.48678;34.54913;52.19275;0;146.02093;68.68398;78.14175;149.80469;24.06327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83.5771
Actinobacillus suis;44.60217;0;0;0;108.57763;156.71285;0;0;0;0;0;0;75.4717;0;0;0;111.48272;0;0;0;56.64118;0;50.52468;9.15332;55.65638;0;222.44431;71.39298;64.65929;134.71649;12.48024;87.64242;0;0;0;0;0;0;0;0;0;215.05376;236.68639;0;0;0;0
Actinobacteria bacterium;27.58757;104.32968;0;0;0;19.41974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57.55396;134.95277;1.97461;18.60206;27.04796;20.24701;19.65538;13.56965;14.31661;25.56714;16.90896;0;0;0;0;0;81.26778;0;0;0;0;0;0;122.92563;0;0;0
Actinomyces gaoshouyii;99.72242;217.74633;0;0;0;160.08105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120.12012;0;199.85989;203.81424;78.25429;126.7561;51.27329;74.60776;54.95253;7.78106;211.32154;0;0;56.10098;0;0;84.81764;0;0;0;0;0;250.94103;0;0;0;0
Actinomyces meyeri;3064.70324;0;0;0;0;4185.72095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4502.75195;1240.43136;1332.3486;1410.84894;1200.40932;1798.36717;1347.17158;24.95792;2304.37513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Actinomyces naeslundii;404.47072;0;0;0;0;6264.54494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1104.80454;1054.37566;2063.65166;1450.81967;657.82493;3905.593;333.89638;10.3509;520.57727;0;0;0;0;0;0;0;0;0;39.28501;0;194.74197;0;0;0;0
Actinomyces oris;508.5651;84.42381;0;0;0;7855.70639;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1460.1572;1298.06607;2599.09484;1605.24161;771.24911;4520.59942;402.91555;9.48063;686.49245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Actinomyces radicidentis;119.22835;0;0;0;0;236.56588;0;0;0;59.988;0;0;0;0;0;0;0;0;0;0;92.87207;108.87316;226.2047;172.58198;99.1847;155.16537;44.92838;120.41902;61.66754;8.5942;194.38606;0;0;43.37454;33.28341;0;0;0;0;0;0;0;0;0;0;0;0
Actinomyces sp;114.43818;133.91363;0;0;0;2016.29988;0;0;0;47.72131;0;37.35525;0;0;0;0;72.70084;0;0;0;73.86888;173.23517;176.12996;167.12427;85.20643;188.38509;235.44251;152.0505;67.75468;8.88691;205.42135;0;0;0;0;0;0;0;0;0;31.1381;0;0;0;0;0;0
Actinoplanes friuliensis;10.0893;82.20304;0;27.72771;28.97291;11.21779;0;0;0;19.52744;0;0;0;35.9002;45.97701;0;0;0;0;0;105.79612;35.44214;10.88788;9.76884;4.84221;0;3.44059;7.67407;5.84001;6.57327;7.56776;0;0;0;10.83306;0;0;0;0;0;0;57.37235;63.15125;0;0;0;0
Actinoplanes missouriensis;4.69996;117.13031;0;0;0;2.7246;0;0;0;0;8.52515;0;0;0;0;0;0;0;0;0;64.6047;37.87162;19.94692;13.04972;3.44986;5.68117;7.35382;5.56507;6.9585;5.2312;4.09769;0;0;45.26252;17.36513;0;0;0;0;16.40151;0;0;134.95277;0;0;0;0
Actinoplanes sp;8.92548;55.60962;0;0;0;3.1045;0;0;0;0;0;0;0;36.42987;0;0;0;0;0;0;92.01748;71.92951;8.94393;4.95638;5.24118;5.39447;6.98263;3.8936;6.19857;3.97372;5.42672;0;0;0;32.9779;0;0;0;0;0;0;0;0;0;0;0;0
Actinopolyspora erythraea;14.33911;97.99118;0;0;0;5.47016;0;0;0;0;0;0;36.01008;0;0;37.42515;53.19149;0;0;0;27.02338;253.48542;12.97822;8.73324;0;9.50525;6.15176;5.39044;6.00107;5.75142;7.03614;0;0;25.24296;0;0;0;0;0;0;0;0;0;0;0;0;0
Actinosynnema mirum;5.58746;93.44339;0;0;0;1.15925;0;26.61344;0;0;0;17.37318;0;40.808;0;0;0;0;0;0;17.18065;40.28197;2.35748;2.77616;2.20175;0;0;2.33665;2.28918;2.22575;2.40874;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23.51005
Actinosynnema pretiosum;0.59659;63.19115;0;0;0;4.11557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81.73273;2.39127;2.81595;0.74444;0;2.97539;2.37015;3.87;4.51531;1.97789;0;0;0;12.49063;0;0;0;0;0;0;66.15944;0;0;0;0;0
Actinotignum schaalii;32.57622;118.9768;0;0;0;39.85299;0;0;68.61063;169.56337;0;66.357;87.45081;0;0;0;0;0;0;96.5717;196.85039;153.84615;108.06187;63.62672;49.06015;11.54201;41.08463;15.47094;31.77074;19.43304;52.5767;0;0;0;47.03669;0;0;0;0;0;0;0;0;0;0;0;0
AdenoAssociated virus2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Adlercreutzia equolifaciens;27.11543;0;0;0;0;13.36117;0;0;0;0;0;0;0;0;0;0;0;0;71.78751;0;148.51485;0;18.68048;27.99776;9.51626;17.4125;16.90427;13.01686;15.17104;13.28471;22.80479;0;0;46.24277;0;0;0;0;0;0;0;187.96992;0;0;0;0;0
Advenella kashmirensis;11.1113;58.84084;0;0;0;9.85513;0;0;0;0;0;0;0;0;98.76543;0;0;0;0;0;97.37098;76.1035;20.04164;20.97865;12.47851;0;7.3888;12.94876;15.85714;22.82625;14.30172;0;0;0;0;0;0;0;0;32.95979;0;246.45718;0;0;0;0;44.41483
Advenella mimigardefordensis;7.67507;162.60163;0;0;57.30659;10.08512;59.47071;46.30702;0;38.61749;0;0;0;0;0;0;0;0;0;0;89.67269;280.40659;22.56017;12.07584;11.49264;21.02939;23.81763;16.80445;14.86989;29.32138;10.97651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aequorivita sublithincola;28.93618;0;0;73.85524;0;21.72703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.24955;0;11.04606;13.00771;22.35232;14.15729;50.39514;29.19601;41.11666;44.32261;25.25979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65.78947;0
Aeribacillus pallidus;24.31849;62.81407;0;0;0;17.53607;0;0;0;0;0;35.03854;0;0;0;0;0;0;0;0;34.65003;0;35.66164;16.79778;10.36177;0;19.72114;18.53725;20.16141;30.46229;17.58225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aerococcus christensenii;93.46765;549.88217;0;0;0;70.18159;0;0;0;0;320.21958;0;0;0;0;0;0;0;0;0;86.65511;0;47.57374;42.01681;68.49822;15.2439;88.79242;94.307;72.37311;87.42451;41.66426;0;0;0;0;0;244.79804;0;0;0;0;0;0;0;0;0;0
Aerococcus sanguinicola;45.31902;252.68478;205.54985;127.79553;0;47.01236;0;0;145.66642;0;36.77147;0;0;0;0;0;0;0;0;0;69.66214;0;52.58378;33.77618;38.69278;0;39.65264;32.21894;44.2519;44.48714;32.09646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aerococcus urinae;86.25412;0;0;0;0;41.35364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.05625;22.00704;39.27101;23.9521;46.50622;51.86466;48.08899;66.7948;30.91499;0;0;0;0;0;0;0;0;0;0;0;0;0;91.03323;0;0
Aerococcus urinaeequi;114.52995;0;0;0;0;41.88969;0;0;0;0;0;0;0;0;0;0;0;0;0;0;241.46257;161.68149;47.32608;27.86602;30.94014;48.52602;31.4058;39.40307;39.82807;47.23515;23.48704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aerococcus urinaehominis;99.3338;0;114.15525;0;0;18.27342;0;0;0;99.95002;0;0;0;0;0;0;0;0;0;0;77.36944;181.4882;31.85221;56.26407;56.19092;27.21829;52.84481;35.78043;69.76353;49.40499;33.5782;0;0;0;0;123.68584;0;0;0;78.58546;0;0;0;0;0;0;0
Aerococcus viridans;45.20646;0;0;0;0;17.38601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;418.67955;0;30.93649;31.22723;24.76542;0;40.32702;21.61038;38.6234;30.40021;22.79315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
