Species;SRR7048708_S53;SRR7049045_VS.B1;SRR7049060_MP79;SRR7049061_MP78;SRR7049072_MP74;SRR7049073_S47;SRR7049084_MP45;SRR7049085_MP44;SRR7049086_MP47;SRR7049087_MP46;SRR7049088_MP41;SRR7049090_MP43;SRR7049091_MP42;SRR7049096_MP49;SRR7049097_MP48;SRR7049154_FP55;SRR7049155_FP58;SRR7049156_FP57;SRR7049157_FP60;SRR7049158_FP59;SRR7049159_AS.B5;SRR7049160_AS.B4;SRR7049161_S54;SRR7049162_S55;SRR7049164_S57;SRR7049165_S58;SRR7049166_S59;SRR7049167_S60;SRR7049168_S61;SRR7049169_S62;SRR7049170_S63;SRR7049173_FP73;SRR7049174_FP74;SRR7049183_FP76;SRR7049184_FP75;SRR7049187_FP80;SRR7049188_FP79;SRR7049201_FP64;SRR7049202_FP63;SRR7049225_FP62;SRR7049226_FP61;SRR7049247_VS.B4;SRR7049248_VS.B3;SRR7049253_MP71;SRR7049255_MP70;SRR7049256_MP73;SRR7049257_MP72
Thauera sp;11.32894;114.28571;0;0;0;10.63309;0;0;0;0;0;0;0;0;0;0;0;0;22.85714;0;157.57958;73.90983;4.3247;20.37127;6.05857;0;5.38107;8.28723;9.23873;14.58236;5.68126;0;76.51109;0;0;0;0;0;0;32.00512;0;0;263.33114;0;0;0;0
Thermacetogenium phaeum;21.45763;174.82517;0;0;0;30.90637;0;0;0;62.28589;0;0;0;0;146.73514;0;0;0;69.93007;0;96.43202;0;14.88612;7.79089;15.44736;0;0;11.36642;23.34177;11.15414;15.12923;0;0;0;34.56022;0;0;0;0;0;0;0;0;0;0;0;0
Thermaerobacter marianensis;13.64268;0;0;0;0;5.04185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149.4396;116.82243;10.25326;8.04959;2.12798;17.52234;22.68024;1.80668;2.21248;4.60965;3.32576;0;0;46.53327;0;79.64954;0;0;82.91874;0;0;0;0;0;0;0;0
Thermanaerovibrio acidaminovorans;7.87329;138.98541;0;0;0;10.34554;152.5553;0;0;0;0;0;0;0;0;0;0;0;111.17287;0;76.65772;0;5.2597;12.38774;6.54965;0;21.81501;12.51173;18.38636;11.35042;13.3072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thermincola potens;9.21864;0;0;0;0;15.14165;0;0;0;0;23.68826;0;0;0;0;0;0;73.52941;65.10417;0;44.8833;0;18.47547;29.00863;10.54468;15.78657;33.20562;19.93985;23.72087;24.9186;23.3717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thermoactinomyces vulgaris;31.77422;197.92182;0;0;0;7.36784;0;0;0;0;0;55.20287;72.75373;0;0;0;0;0;0;0;0;128.04097;14.98352;35.28893;11.6614;0;18.64338;20.79146;15.27684;18.18797;19.31881;0;0;0;0;0;0;0;0;0;0;207.25389;228.05017;0;0;0;0
Thermoanaerobacter brockii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thermoanaerobacter italicus;5.93765;0;0;0;0;9.75267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.9666;0;9.87886;0;6.58068;12.58099;3.59491;6.41996;8.10573;0;0;0;41.44219;0;81.63265;0;0;0;0;0;0;123.45679;0;0;0
Thermoanaerobacter kivui;28.32431;107.12373;0;0;0;19.93819;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59.10165;0;18.24596;9.54973;30.29462;20.78786;20.18028;19.29054;23.62329;22.96864;20.12239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thermoanaerobacter mathranii;6.31094;0;0;0;0;4.14628;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.53985;0;5.24996;0;6.99447;1.67149;14.19195;9.09804;4.10251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
