Species;SRR7048708_S53;SRR7049045_VS.B1;SRR7049060_MP79;SRR7049061_MP78;SRR7049072_MP74;SRR7049073_S47;SRR7049084_MP45;SRR7049085_MP44;SRR7049086_MP47;SRR7049087_MP46;SRR7049088_MP41;SRR7049090_MP43;SRR7049091_MP42;SRR7049096_MP49;SRR7049097_MP48;SRR7049153_FP56;SRR7049154_FP55;SRR7049155_FP58;SRR7049156_FP57;SRR7049157_FP60;SRR7049158_FP59;SRR7049159_AS.B5;SRR7049160_AS.B4;SRR7049161_S54;SRR7049162_S55;SRR7049163_S56;SRR7049164_S57;SRR7049165_S58;SRR7049166_S59;SRR7049167_S60;SRR7049168_S61;SRR7049169_S62;SRR7049170_S63;SRR7049173_FP73;SRR7049174_FP74;SRR7049183_FP76;SRR7049184_FP75;SRR7049187_FP80;SRR7049188_FP79;SRR7049201_FP64;SRR7049202_FP63;SRR7049225_FP62;SRR7049226_FP61;SRR7049247_VS.B4;SRR7049248_VS.B3;SRR7049253_MP71;SRR7049255_MP70;SRR7049256_MP73;SRR7049257_MP72;SRR7049258_MP75
Brachyspira intermedia;30;0;0;0;4;16;2;6;4;0;0;0;2;0;0;4;2;0;2;0;0;0;0;8;7;6;21;8;6;44;120;66;84;4;2;2;2;0;0;0;6;2;0;0;0;6;2;3;2;2
Brachyspira murdochii;46;2;2;2;0;20;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;21;14;0;26;4;16;94;184;54;118;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0
Brachyspira pilosicoli;46;0;2;0;0;17;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;4;15;4;4;33;0;6;47;175;52;70;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0
Bradyrhizobium japonicum;18;10;0;0;0;19;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;16;2;20;0;0;10;2;2;20;142;48;60;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0
Bradyrhizobium sp;24;6;0;2;0;12;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;4;2;44;16;8;8;0;4;29;80;56;71;0;0;0;4;0;0;0;2;2;0;6;2;0;0;0;2;0
Brenneria goodwinii;28;2;0;0;0;12;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;6;2;22;4;6;18;2;10;52;141;77;80;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0
Brevibacillus brevis;64;4;24;18;34;42;22;54;46;38;32;54;52;28;30;24;20;24;36;38;36;6;2;41;29;20;43;24;33;81;182;152;115;36;2;58;40;32;35;28;38;40;66;0;0;32;24;30;38;32
Brevibacillus formosus;36;4;0;0;0;14;2;0;0;2;0;4;0;0;0;2;4;0;2;0;2;4;2;22;9;0;26;6;14;60;161;98;89;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0
Brevibacillus laterosporus;97;0;0;0;2;12;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;2;0;29;18;2;63;4;27;89;233;168;137;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Brevibacterium aurantiacum;24;2;0;0;0;11;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;20;4;0;8;5;11;27;124;45;58;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
Brevibacterium linens;11;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;23;6;6;8;0;0;23;133;38;87;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0
Brevundimonas naejangsanensis;14;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;2;0;10;0;0;8;99;32;35;0;0;8;2;0;0;0;0;0;0;2;2;0;0;0;0;2
Brevundimonas sp;8;2;0;2;0;8;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;4;4;4;4;0;6;0;4;12;46;29;38;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brevundimonas subvibrioides;6;4;0;0;0;15;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;6;0;4;24;38;22;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
Brevundimonas vesicularis;8;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;2;4;0;4;8;41;26;26;0;0;4;0;0;0;0;0;0;2;4;0;0;0;2;0;0
Brucella abortus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brucella canis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brucella ceti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brucella melitensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brucella microti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brucella ovis;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brucella pinnipedialis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brucella sp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brucella suis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buchnera aphidicola;16;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;2;12;36;26;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkholderia ambifaria;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;6;2;0;2;0;0;0;20;8;12;0;0;0;0;0;0;0;2;0;0;2;0;1;0;0;0;0
Burkholderia cenocepacia;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;4;0;4;4;26;16;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkholderia cepacia;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;39;2;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Burkholderia contaminans;2;1;0;0;0;6;0;0;0;0;0;2;0;0;0;2;1;0;0;2;0;7;6;0;4;2;6;0;4;14;28;20;22;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;2;2
Burkholderia dolosa;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;2;0;0;10;0;0;6;22;7;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkholderia gladioli;16;4;0;0;0;7;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;6;5;13;0;2;26;53;46;20;0;0;0;0;2;4;0;0;0;0;2;2;0;1;0;0;0
Burkholderia glumae;6;4;0;0;0;12;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;2;7;2;5;40;68;30;16;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Burkholderia mallei;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;8;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkholderia metallica;6;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;2;2;2;0;0;8;37;13;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkholderia multivorans;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;14;2;0;4;0;2;2;11;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkholderia oklahomensis;24;4;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;12;4;0;5;0;2;15;50;20;22;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0
Burkholderia plantarii;4;2;0;0;0;14;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;2;0;0;8;0;0;20;73;33;20;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0
Burkholderia pseudomallei;0;1;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4;2;2;2;0;2;4;20;8;8;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Burkholderia pseudomultivorans;8;2;0;0;0;10;0;0;1;0;0;0;2;1;0;3;0;0;0;0;0;6;2;0;4;4;5;2;4;13;48;2;27;2;0;0;0;0;0;4;0;0;2;0;0;0;0;0;1;0
Burkholderia rhizoxinica;12;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;6;2;0;26;77;28;38;0;0;2;0;0;0;0;0;4;2;0;0;2;0;0;0;2
Burkholderia seminalis;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;2;0;2;0;2;3;16;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkholderia sp;15;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;6;0;10;0;2;0;0;4;18;57;55;13;0;0;4;0;0;0;0;0;0;2;2;0;0;0;0;0;0
Burkholderia stabilis;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;0;0;2;0;2;6;14;30;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkholderia stagnalis;4;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;4;4;4;0;1;2;2;4;20;18;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
Burkholderia territorii;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;2;0;0;2;13;9;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Burkholderia thailandensis;9;2;0;2;0;12;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;6;0;1;4;2;2;12;33;29;8;0;0;4;0;0;0;0;0;0;0;2;1;0;0;2;0;2
Burkholderia ubonensis;10;6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;1;2;0;2;4;23;11;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkholderia vietnamiensis;22;4;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;0;18;4;2;28;35;29;12;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0
Burkholderiales bacterium;9;4;0;0;0;3;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;4;2;2;6;0;6;7;49;40;8;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;2
Butyrivibrio hungatei;76;0;0;0;0;46;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;6;34;15;1;64;9;28;161;332;137;217;2;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0
Butyrivibrio proteoclasticus;78;4;0;0;0;43;1;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;4;39;17;4;61;8;26;97;325;129;250;0;0;0;2;0;0;2;0;2;2;0;0;2;0;0;0;0
Caldicellulosiruptor bescii;10;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;2;4;12;48;20;51;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0
Caldicellulosiruptor kronotskyensis;9;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;8;0;0;16;0;2;20;99;40;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Caldicellulosiruptor lactoaceticus;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;10;8;4;21;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Caldicellulosiruptor obsidiansis;18;0;0;0;0;6;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;2;0;10;2;6;38;44;78;16;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Caldicellulosiruptor owensensis;18;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;2;12;2;3;41;53;22;20;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Caldicellulosiruptor saccharolyticus;45;0;2;0;0;16;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;8;0;1;18;6;10;65;114;131;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Caldilinea aerophila;36;8;0;0;0;7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;184;4;2;10;0;18;58;120;107;94;0;0;4;0;0;0;0;0;0;0;2;2;0;0;2;0;0
Caldisericum exile;12;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;20;0;10;28;97;54;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calditerrivibrio nitroreducens;32;0;0;2;0;8;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;2;4;16;2;6;46;91;68;40;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0
Caldithrix abyssi;30;2;0;0;0;10;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;16;8;6;26;2;12;42;131;101;58;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;2;0
Calothrix sp;55;6;0;0;2;18;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;21;20;0;32;2;19;108;275;375;171;0;0;0;0;0;2;2;0;6;0;0;0;4;0;0;0;2
Campylobacter avium;18;0;0;0;0;6;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;10;2;3;18;0;4;35;62;63;56;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0
Campylobacter coli;28;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;30;6;6;31;119;67;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campylobacter concisus;1408;2;0;0;1;3272;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;6;0;453;136;94;5219;162;138;3982;6051;153;6853;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
Campylobacter cuniculorum;27;2;4;0;2;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;12;2;13;0;5;60;84;20;45;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
Campylobacter curvus;16;0;2;0;0;23;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;2;13;25;10;23;2;14;87;154;34;107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campylobacter fetus;26;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;14;0;6;0;0;21;82;36;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campylobacter gracilis;50;0;0;0;0;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;22;38;9;57;14;25;206;213;54;144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campylobacter helveticus;14;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;15;2;12;33;98;113;38;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0
Campylobacter hepaticus;20;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;1;0;7;0;11;45;51;62;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campylobacter hominis;20;2;0;0;0;7;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;12;2;2;13;2;9;31;139;54;66;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Campylobacter hyointestinalis;22;0;0;0;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;8;8;2;14;47;78;104;52;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
Campylobacter iguaniorum;28;0;0;0;0;12;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;9;2;1;14;0;6;37;84;55;55;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Campylobacter insulaenigrae;20;0;0;0;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;12;6;2;11;0;12;37;106;26;42;0;0;0;2;0;0;2;2;0;3;0;0;0;0;0;0;0
Campylobacter jejuni;22;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;0;10;0;10;32;89;32;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campylobacter lanienae;8;0;0;0;0;15;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;10;6;4;20;4;4;49;87;32;59;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
Campylobacter lari;18;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;2;0;2;0;0;33;42;22;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Campylobacter peloridis;20;2;0;0;0;19;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;9;6;0;18;0;6;25;90;68;40;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Campylobacter pinnipediorum;25;0;0;0;0;23;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;8;0;20;0;10;65;116;67;54;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Campylobacter sp;18;0;0;0;0;2;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;10;0;8;45;53;52;31;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0
Campylobacter sputorum;22;0;2;2;2;16;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;4;0;21;13;0;9;2;8;62;102;58;86;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0
Campylobacter subantarcticus;20;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;1;11;0;12;16;65;57;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campylobacter ureolyticus;27;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;5;8;0;15;2;6;69;118;40;46;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
Campylobacter volucris;16;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;4;0;0;0;0;27;0;4;15;85;38;44;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2
Candidatus Accumulibacter;20;4;0;0;0;15;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;8;8;8;7;15;8;2;2;72;171;79;46;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
Candidatus Amoebophilus;18;0;0;0;0;6;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;19;2;2;24;0;6;16;91;53;44;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Candidatus Arthromitus;19;0;0;0;2;10;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;13;1;0;23;0;8;44;96;60;78;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0
Candidatus Azobacteroides;40;2;0;0;0;17;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;22;15;2;20;2;11;66;169;54;108;0;0;4;0;0;0;0;0;2;2;0;0;0;0;0;0;0
Candidatus Babela;15;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;2;0;14;2;6;18;47;20;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
