Species;SRR7048708_S53;SRR7049045_VS.B1;SRR7049060_MP79;SRR7049061_MP78;SRR7049072_MP74;SRR7049073_S47;SRR7049084_MP45;SRR7049085_MP44;SRR7049086_MP47;SRR7049087_MP46;SRR7049088_MP41;SRR7049090_MP43;SRR7049091_MP42;SRR7049096_MP49;SRR7049097_MP48;SRR7049153_FP56;SRR7049154_FP55;SRR7049155_FP58;SRR7049156_FP57;SRR7049157_FP60;SRR7049158_FP59;SRR7049159_AS.B5;SRR7049160_AS.B4;SRR7049161_S54;SRR7049162_S55;SRR7049163_S56;SRR7049164_S57;SRR7049165_S58;SRR7049166_S59;SRR7049167_S60;SRR7049168_S61;SRR7049169_S62;SRR7049170_S63;SRR7049173_FP73;SRR7049174_FP74;SRR7049183_FP76;SRR7049184_FP75;SRR7049187_FP80;SRR7049188_FP79;SRR7049201_FP64;SRR7049202_FP63;SRR7049225_FP62;SRR7049226_FP61;SRR7049247_VS.B4;SRR7049248_VS.B3;SRR7049253_MP71;SRR7049255_MP70;SRR7049256_MP73;SRR7049257_MP72;SRR7049258_MP75
Aggregatibacter phage;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;10;3;6;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacillus phage;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacteroides phage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clostridium phage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
Enterococcus phage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Escherichia phage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lactobacillus phage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Propionibacterium phage;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pseudomonas phage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Salmonella phage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Staphylococcus phage;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;2;0
Streptococcus phage;8;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;28;17;2;1;17;0
Vibrio phage;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Peptoclostridium phage;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;2;0;2;4;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacter oryzifermentans;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;5;13;14;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetomicrobium mobile;15;0;0;2;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;15;8;2;8;0;4;42;45;59;54;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;4
Acholeplasma brassicae;128;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;18;22;2;33;4;33;119;255;62;45;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0
Acidihalobacter prosperus;18;0;0;0;0;6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;8;2;0;8;0;2;16;76;44;44;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
Acidimicrobium ferrooxidans;20;2;0;0;0;7;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;6;2;0;4;0;1;14;55;40;30;0;0;0;4;0;0;0;2;0;0;2;0;0;0;0;0;0
Acinetobacter guillouiae;33;18;0;0;0;27;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;25;24;24;11;1;13;0;14;91;207;160;121;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0
AdenoAssociated virus2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agrobacterium rhizogenes;12;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;8;6;0;0;2;4;2;38;32;30;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0
Alcanivorax pacificus;10;2;2;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;8;0;4;4;3;24;0;10;14;95;68;26;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0
Algibacter alginicilyticus;64;4;0;0;0;24;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;32;8;4;26;3;14;79;241;131;123;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2
Alteromonas stellipolaris;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;4;4;6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anaplasma ovis;16;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;8;0;0;16;30;6;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antarctobacter heliothermus;16;0;0;0;2;4;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;8;0;10;2;0;8;6;4;34;117;40;39;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Aquaspirillum sp;24;2;0;0;0;9;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;4;8;2;6;14;0;2;42;127;133;49;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Azospirillum thiophilum;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;3;0;0;2;14;26;17;28;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0
Bacillus methylotrophicus;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;6;0;2;12;12;14;22;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
Bacillus oceanisediminis;84;0;0;0;0;21;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;6;2;19;24;4;25;2;10;81;200;115;128;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Bacterium AB1;5;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;6;2;6;0;0;8;40;18;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bartonella ancashensis;11;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;6;0;6;0;5;14;72;18;49;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Bibersteinia trehalosi;33;4;0;2;2;64;0;4;2;0;0;2;2;0;2;0;0;0;0;2;0;3;4;18;6;17;40;6;50;136;315;243;43;0;0;0;2;2;0;2;0;2;2;0;0;0;0;0;2;4
Bifidobacterium thermophilum;21;2;2;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;28;22;4;21;7;2;23;80;48;74;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0
Blattabacterium cuenoti;7;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;12;44;24;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Borrelia mayonii;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;40;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Borrelia parkeri;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;18;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Borreliella bavariensis;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;10;4;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Borreliella bissettii;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;4;10;12;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Borreliella burgdorferi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Borreliella garinii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bradyrhizobium diazoefficiens;29;4;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;14;2;12;8;6;10;2;4;48;100;43;38;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
Bradyrhizobium icense;39;6;2;0;2;6;0;0;2;2;0;0;0;0;0;1;0;0;0;0;0;32;6;10;0;4;11;0;8;44;165;85;94;0;0;2;2;0;2;2;0;0;0;4;0;0;0;0;0;0
Bradyrhizobium oligotrophicum;14;7;0;0;0;10;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;14;4;12;10;4;10;2;8;22;129;66;55;0;0;0;0;0;2;0;0;0;0;9;0;0;0;0;0;0
Bradyrhizobium ottawaense;8;8;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;7;19;6;6;12;0;4;29;155;62;50;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
Bradyrhizobium paxllaeri;49;16;0;2;0;16;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;22;4;10;6;0;23;2;12;34;121;88;61;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0
Brevibacterium flavum;4;2;0;0;2;10;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;4;6;0;4;0;1;9;35;20;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brochothrix thermosphacta;81;2;0;0;0;24;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;15;15;1;41;1;23;77;217;86;99;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2
Burkholderia diffusa;6;2;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;9;15;4;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Burkholderia lata;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;4;5;4;2;6;14;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Burkholderia latens;4;4;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;2;4;0;0;2;2;0;0;8;29;12;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Burkholderia pyrrocinia;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;18;11;2;18;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
Caldicellulosiruptor hydrothermalis;6;0;0;0;0;8;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;6;0;2;16;4;6;20;68;64;30;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Caldicellulosiruptor kristjanssonii;10;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;7;2;0;15;49;34;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Caldimicrobium thiodismutans;16;0;0;2;0;6;0;2;0;0;0;0;2;0;0;0;0;0;0;0;4;0;2;4;0;0;16;0;2;37;92;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Candidatus Atelocyanobacterium;24;2;0;2;2;11;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;10;0;2;20;40;36;24;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0
Candidatus Beckwithbacteria;15;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;6;0;0;12;25;20;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Candidatus Caedibacter;17;0;0;2;0;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;5;2;0;18;6;6;38;66;54;41;0;0;0;2;0;2;0;2;0;0;0;0;0;0;4;2;4
Candidatus Carsonella;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;7;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Candidatus Desulforudis;4;0;0;2;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;5;0;12;0;2;11;44;24;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Candidatus Desulfovibrio;5;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;2;2;8;0;5;20;30;31;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
Candidatus Endomicrobium;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;7;2;0;0;2;19;38;16;23;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
Candidatus Filomicrobium;20;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;12;6;13;2;2;12;111;34;62;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
Candidatus Hodgkinia;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;6;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Candidatus Liberibacter;20;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;2;0;8;0;4;24;67;40;28;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
Candidatus Methylomirabilis;13;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;4;0;10;2;0;5;2;7;16;64;59;38;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0
Candidatus Methylopumilus;26;4;0;0;0;10;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;12;4;7;16;0;3;21;107;46;38;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0
Candidatus Mycoplasma;16;0;2;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;2;14;2;0;4;0;4;6;34;18;20;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2
Candidatus Nasuia;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;5;4;10;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Candidatus Nitrosoglobus;21;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;4;4;0;0;28;60;61;42;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Candidatus Nitrospira;22;4;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;6;16;2;16;2;2;37;90;80;42;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Candidatus Nucleicultrix;20;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;7;4;2;7;4;4;18;93;58;50;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0
Candidatus Pantoea;18;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;1;4;0;6;25;96;40;30;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Candidatus Phytoplasma;16;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;56;30;8;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2
Candidatus Portiera;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;8;0;16;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Candidatus Puniceispirillum;25;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;2;8;0;2;14;0;3;42;82;69;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Candidatus Sodalis;12;2;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;4;11;24;10;15;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Candidatus Spiroplasma;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;4;20;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Candidatus Stammera;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;2;11;4;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Candidatus Thiodictyon;26;8;0;0;2;15;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;4;16;6;6;8;0;14;23;123;38;72;0;0;0;0;0;0;0;0;0;0;3;2;0;2;0;0;0
Candidatus Thioglobus;14;2;0;2;0;6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;10;6;3;2;0;4;18;103;40;56;2;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0
Candidatus Tremblaya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Candidatus Vesicomyosocius;7;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;21;0;2;16;44;27;23;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Celeribacter marinus;30;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;12;4;6;16;4;2;18;88;46;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chlamydia abortus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chlamydia felis;12;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;4;8;0;0;16;68;66;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chlamydia pecorum;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chlamydia phage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chlamydia psittaci;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;0;5;14;28;13;33;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Chloracidobacterium thermophilum;62;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;10;2;0;10;0;8;19;70;62;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chlorobaculum limnaeum;13;2;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;6;6;2;3;11;2;5;19;126;47;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chroococcidiopsis thermalis;61;6;0;0;0;21;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;22;10;2;54;2;20;90;179;153;83;0;0;0;0;2;2;0;0;2;2;2;0;0;4;0;2;0
Clostridioides difficile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clostridium cellulosi;21;0;0;0;0;12;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;11;6;0;17;0;13;38;103;30;70;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
Clostridium clariflavum;61;0;2;0;0;25;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;24;14;2;36;0;18;90;225;190;187;0;0;0;4;0;0;0;0;2;0;0;2;0;0;2;0;0
Clostridium propionicum;71;2;0;0;0;18;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;12;7;2;51;4;18;58;245;61;143;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0
Clostridium stercorarium;29;2;0;0;0;9;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;8;6;2;14;2;8;38;107;56;78;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0
Cobetia marina;13;2;2;0;0;9;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;2;8;0;9;6;4;6;28;106;47;47;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0
Comamonas thiooxydans;13;16;0;0;0;14;0;3;0;4;0;4;0;0;0;2;2;0;0;0;0;22;2;2;6;7;4;0;5;33;91;43;33;4;0;0;2;0;0;0;0;4;0;4;6;2;0;0;0;0
Corynebacterium halotolerans;20;2;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;9;7;1;12;0;6;37;57;16;25;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Corynebacterium marinum;23;6;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;11;3;2;7;0;0;26;54;19;37;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
Croceicoccus marinus;12;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;4;2;6;0;10;0;6;2;37;28;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Cronobacter universalis;8;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;4;2;0;6;2;6;14;27;36;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cyanobacterium aponinum;62;0;2;4;0;19;0;0;0;0;4;8;0;0;0;0;6;0;2;0;2;0;0;20;6;3;17;6;16;56;145;123;67;0;0;0;0;2;2;4;4;0;2;0;0;0;2;0;2;2
Cyanobacterium stanieri;50;0;2;0;2;6;2;2;0;2;0;4;4;0;0;2;2;4;0;0;4;2;0;22;11;6;12;4;6;54;175;87;67;0;0;0;2;2;0;2;0;0;2;0;0;0;2;0;4;4
Cyanobium gracile;6;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;7;2;4;2;0;0;20;28;16;21;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;0;0
Cyclobacterium marinum;58;0;0;0;0;36;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;6;22;17;0;28;4;17;97;246;141;103;0;0;8;0;0;0;0;0;0;0;4;0;0;0;0;0;0
Cycloclasticus zancles;18;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;6;0;9;4;0;8;21;13;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dechlorosoma suillum;19;2;0;0;0;12;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;10;2;10;4;8;12;2;4;16;78;48;41;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
Dehalobacter restrictus;16;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;16;2;2;30;86;38;42;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Dehalobacterium formicoaceticum;34;0;2;2;0;10;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;8;2;18;2;2;30;0;13;78;177;91;84;0;0;4;0;0;0;2;0;2;0;2;0;0;0;0;0;0
Dehalococcoides mccartyi;11;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;8;0;0;8;48;12;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dehalogenimonas formicexedens;4;2;0;0;0;11;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;6;0;2;5;0;6;18;50;31;28;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0
Dehalogenimonas sp;10;2;0;0;1;6;0;0;0;4;0;0;2;0;0;0;0;0;0;2;4;4;0;14;4;0;12;0;0;22;42;26;31;0;0;0;0;0;1;0;0;2;0;0;0;0;2;0;0;0
Denitrobacterium detoxificans;17;2;0;0;0;14;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;6;0;11;6;0;16;134;66;65;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0
Dermabacter jinjuensis;42;4;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;30;6;0;9;7;9;94;82;12;190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Desulfatibacillum aliphaticivorans;34;6;0;0;0;14;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;8;0;32;7;0;20;2;14;48;154;94;83;0;0;0;4;0;2;0;0;2;2;0;0;0;2;2;0;4
Desulfitobacterium dehalogenans;56;0;0;2;0;18;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;26;13;6;30;0;19;78;180;90;109;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2
