Species,r_value,p_value,stError,euclidean,distribution
Streptococcus pneumoniae,0.9781,0.0,0.0,0.029,uniform
Fusobacterium nucleatum,0.9823,0.0,0.0,0.113,uniform
Streptococcus mutans,0.9898,0.0,0.0,0.233,uniform
Porphyromonas gingivalis,0.9967,0.0,0.0,0.035,uniform
Streptococcus intermedius,0.9819,0.0,0.0,0.079,uniform
Rothia mucilaginosa,0.9832,0.0,0.0,0.028,uniform
Actinomyces naeslundii,0.9936,0.0,0.0,0.01,uniform
Rothia aeria,0.9937,0.0,0.0,0.063,uniform
Streptococcus thermophilus,0.9845,0.0,0.0,0.02,uniform
Haemophilus influenzae,0.9635,0.0,0.0,0.441,uniform
Streptococcus sanguinis,0.9944,0.0,0.0,0.011,uniform
Lactobacillus gasseri,0.974,0.0,0.0,0.034,uniform
Streptococcus gordonii,0.9871,0.0,0.0,0.02,uniform
Campylobacter concisus,0.9728,0.0,0.0,0.036,uniform
Ralstonia pickettii,0.9955,0.0,0.0,0.162,uniform
Atopobium parvulum,0.9889,0.0,0.0,0.04,uniform
Veillonella parvula,0.9879,0.0,0.0,0.03,uniform
Prevotella melaninogenica,0.9824,0.0,0.0,0.006,uniform
Rothia dentocariosa,0.9903,0.0,0.0,0.025,uniform
Prevotella denticola,0.9919,0.0,0.0,0.014,uniform
Streptococcus parasanguinis,0.9815,0.0,0.0,0.029,uniform
Streptococcus pseudopneumoniae,0.9859,0.0,0.0,0.028,uniform
Prevotella dentalis,0.9419,0.0,1e-05,0.423,uniform
Streptococcus constellatus,0.9961,0.0,0.0,0.429,uniform
Streptococcus anginosus,0.9902,0.0,0.0,0.209,uniform
Streptococcus cristatus,0.9927,0.0,0.0,0.041,uniform
Streptococcus sp,0.9856,0.0,0.0,0.022,uniform
Neisseria elongata,0.9863,0.0,0.0,0.284,uniform
Actinomyces meyeri,0.9623,0.0,0.0,0.024,uniform
Prevotella fusca,0.9936,0.0,0.0,0.07,uniform
Actinomyces sp,0.9954,0.0,0.0,0.237,uniform
Prevotella enoeca,0.9899,0.0,0.0,0.054,uniform
Fusobacterium hwasookii,0.9977,0.0,0.0,0.33,uniform
Actinomyces radicidentis,0.9971,0.0,0.0,0.417,uniform
Actinomyces oris,0.9941,0.0,0.0,0.009,uniform
Gemella sp,0.9935,0.0,0.0,0.284,uniform
Lactobacillus oris,0.9901,0.0,0.0,0.033,uniform
Streptococcus equinus,0.9834,0.0,0.0,0.03,uniform
Veillonella atypica,0.9911,0.0,0.0,0.031,uniform
Prevotella jejuni,0.9959,0.0,0.0,0.029,uniform
Streptococcus mitis,0.9926,0.0,0.0,0.03,uniform
Haemophilus parainfluenzae,0.9789,0.0,0.0,0.01,uniform
Streptococcus oralis,0.989,0.0,0.0,0.031,uniform
Streptococcus salivarius,0.9928,0.0,0.0,0.028,uniform
