Species,r_value,p_value,stError,euclidean,distribution
Rhodococcus erythropolis,0.9895,0.0,0.0,0.034,uniform
Ralstonia pickettii,0.9607,0.0,0.0,0.025,uniform
Sandaracinus amylolyticus,0.9976,0.0,0.0,0.442,uniform
Minicystis rosea,0.977,0.0,0.0,0.267,uniform
Variovorax boronicumulans,0.9864,0.0,0.0,0.267,uniform
